Service,Item_Name,Like_New,Excellent,Good,Well_Used
MPB,Used Canon EF 70-200mm f/2.8 L IS II USM,1459.0,1359.0,1209.0,NA
KEH,Canon 70-200mm f/2.8 L IS II USM EF-Mount Lens {77},NA,1471.18,0,1227.18
KEH,Canon 24-70mm f/2.8 L II USM EF Mount Lens {82},NA,1466.56,0,1091.87
KEH,Canon 24-70mm f/2.8 L II USM EF Mount Lens {82},NA,1466.56,0,1091.87
KEH,Canon 100-400mm f/4.5-5.6 L IS II USM EF Mount Lens {77} with Canon Tripod Foot,NA,1696.74,0,1482.02
MPB,Used Canon EF 24-105mm f/4 L IS USM II,944.0,NA,819.0,NA
KEH,Canon 24-105mm f/4 L IS USM II EF-Mount Lens {77},NA,938.48,0,0
KEH,Canon 24-105mm f/4 L IS USM Macro EF-Mount Lens {77},NA,503.07,0,0
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
KEH,Canon 50mm f/1.4 USM EF-Mount Lens {58},NA,291.6,0,262.16
MPB,Used Canon EOS 1DX,NA,1699.0,1529.0,1189.0
MPB,Used Canon EOS 1DX,NA,1699.0,1529.0,1189.0
MPB,Used Canon EOS 1DX,NA,1699.0,1529.0,1189.0
MPB,Used Canon EOS 1DX,NA,1699.0,1529.0,1189.0
MPB,Used Canon EOS 1DX,NA,1699.0,1529.0,1189.0
